Leeds United,Leeds United,,,,,,,
Leganes,CD Leganes,,,,,,,
Leicester City,Leicester City,,,,,,,
Lens,RC Lens,,,,,,,
Levante,Levante UD,,,,,,,
Leverkusen,Bayer 04 Leverkusen,,,,,,,
Lille,LOSC Lille,,,,,,,
Liverpool,Liverpool FC,,,,,,,
Lorient,FC Lorient,,,,,,,
Lyon,Olympique Lyon,,,,,,,
Mainz 05,1.FSV Mainz 05,,,,,,,
Mallorca,RCD Mallorca,,,,,,,
Manchester City,Manchester City,,,,,,,
Manchester Utd,Manchester United,,,,,,,
Marseille,Olympique Marseille,,,,,,,
Metz,FC Metz,,,,,,,
M'Gladbach,Borussia Monchengladbach,,,,,,,
Milan,AC Milan,,,,,,,
Monaco,AS Monaco,,,,,,,
Montpellier,Montpellier HSC,,,,,,,
Monza,AC Monza,,,,,,,
Nantes,FC Nantes,,,,,,,
Napoli,SSC Napoli,,,,,,,
Newcastle Utd,Newcastle United,,,,,,,
Nice,OGC Nice,,,,,,,
Nimes,Nimes,,,,,,,
Norwich City,Norwich City,,,,,,,
Nott'ham Forest,Nottingham Forest,,,,,,,
Nurnberg,Nurnberg,,,,,,,
Osasuna,CA Osasuna,,,,,,,
Paderborn 07,SC Paderborn 07,,,,,,,
Paris S-G,Paris Saint-Germain,,,,,,,
Parma,Parma Calcio 1913,,,,,,,
Rayo Vallecano,Rayo Vallecano,,,,,,,
RB Leipzig,RB Leipzig,,,,,,,
Real Madrid,Real Madrid,,,,,,,
Real Sociedad,Real Sociedad,,,,,,,
Reims,Stade Reims,,,,,,,
Rennes,Stade Rennais FC,,,,,,,
Roma,AS Roma,,,,,,,
Saint-Etienne,Saint-Etienne,,,,,,,
Salernitana,US Salernitana 1919,,,,,,,
Sampdoria,UC Sampdoria,,,,,,,
Sassuolo,US Sassuolo,,,,,,,
Schalke 04,FC Schalke 04,,,,,,,
Sevilla,Sevilla FC,,,,,,,
Sheffield Utd,Sheffield United,,,,,,,
Southampton,Southampton FC,,,,,,,
SPAL,SPAL,,,,,,,
Spezia,Spezia Calcio,,,,,,,
Strasbourg,RC Strasbourg Alsace,,,,,,,
Stuttgart,VfB Stuttgart,,,,,,,
Torino,Torino FC,,,,,,,
Tottenham,Tottenham Hotspur,,,,,,,
Toulouse,FC Toulouse,,,,,,,
Troyes,ESTAC Troyes,,,,,,,
Udinese,Udinese Calcio,,,,,,,
Union Berlin,1.FC Union Berlin,,,,,,,
Valencia,Valencia CF,,,,,,,
Valladolid,Real Valladolid CF,,,,,,,
Venezia,Venezia FC,,,,,,,
Villarreal,Villarreal CF,,,,,,,
Watford,Watford FC,,,,,,,
Werder Bremen,SV Werder Bremen,,,,,,,
West Brom,West Bromwich Albion,,,,,,,
West Ham,West Ham United,,,,,,,
Wolfsburg,VfL Wolfsburg,,,,,,,
Wolves,Wolverhampton Wanderers,,,,,,,
1.FC Heidenheim 1846,1.FC Heidenheim 1846,,,,,,,
UD Las Palmas,UD Las Palmas,,,,,,,
SV Darmstadt 98,SV Darmstadt 98,,,,,,,
Luton Town,Luton Town,,,,,,,
Le Havre AC,Le Havre AC,,,,,,,
